Timestamp (s),Dominant Emotion
0.0,angry
0.04003999681173283,angry
0.08007999362346566,neutral
0.12011999043519847,neutral
0.1601599872469313,neutral
0.20019998405866413,neutral
0.24023998087039694,neutral
0.28027997768212976,neutral
0.3203199744938626,neutral
0.36035997130559544,neutral
0.40039996811732825,neutral
0.44043996492906107,neutral
0.4804799617407939,neutral
0.5205199585525268,neutral
0.5605599553642595,neutral
0.6005999521759924,neutral
0.6406399489877252,neutral
0.680679945799458,neutral
0.7207199426111909,neutral
0.7607599394229236,neutral
0.8007999362346565,neutral
0.8408399330463894,neutral
0.8808799298581221,neutral
0.920919926669855,neutral
0.9609599234815878,neutral
1.0009999202933206,neutral
1.0410399171050535,neutral
1.0810799139167864,neutral
1.121119910728519,neutral
1.161159907540252,happy
1.2011999043519848,happy
1.2412399011637176,neutral
1.2812798979754505,happy
1.3213198947871831,fear
1.361359891598916,neutral
1.4013998884106489,neutral
1.4414398852223818,neutral
1.4814798820341146,neutral
1.5215198788458473,neutral
1.5615598756575801,neutral
1.601599872469313,neutral
1.6416398692810459,neutral
1.6816798660927788,neutral
1.7217198629045114,happy
1.7617598597162443,neutral
1.8017998565279771,neutral
1.84183985333971,sad
1.8818798501514429,neutral
1.9219198469631755,neutral
